Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,43.867943,44.318977,43.849403,44.127441,36.696037,121759
2007-01-03,44.238655,44.980087,43.880299,44.399300,36.922115,96000
2007-01-04,44.609371,44.825623,43.867943,44.232475,36.783386,2579733
2007-01-05,44.485798,44.980087,43.991512,44.393120,36.916973,258578
2007-01-08,44.720585,44.856514,43.521938,43.886478,36.495651,150382
2007-01-09,43.750549,43.966797,43.009117,43.398369,36.089741,214798
2007-01-10,43.398369,43.398369,41.767223,42.199722,35.092960,249312
2007-01-11,41.779579,43.002937,41.779579,42.731083,35.534836,115172
2007-01-12,44.238655,44.238655,42.508652,42.891724,35.668427,227179
2007-01-15,43.497227,43.732014,42.446869,43.274796,35.986980,205653
2007-01-16,43.738190,43.867943,42.786690,43.799976,36.423717,1706329
2007-01-17,43.867943,44.399300,43.620796,43.898834,36.505924,107370
2007-01-18,43.867943,44.213943,40.877506,42.403618,35.262524,87083
2007-01-19,43.373653,43.979156,42.891724,43.145046,35.879089,76392
2007-01-22,43.620796,44.980087,43.620796,44.318977,36.855316,488906
2007-01-23,44.485798,44.485798,42.199722,42.514832,35.355003,121022
2007-01-24,43.985332,43.985332,41.767223,42.020546,34.943954,116402
2007-01-25,41.890793,43.002937,41.890793,42.626045,35.447483,1007205
2007-01-29,43.614620,43.614620,41.396507,41.705437,34.681919,115795
2007-01-31,42.385082,42.446869,41.211151,41.402687,34.430149,75518
2007-02-01,41.421223,42.002010,40.994900,41.038151,34.127003,55449
2007-02-02,42.249153,42.249153,41.149364,41.761044,34.728157,90036
2007-02-05,41.285294,41.581863,40.914577,41.334721,34.373627,1110367
2007-02-06,40.902222,41.643650,40.902222,41.384151,34.414734,117583
2007-02-07,41.396507,41.520081,41.025791,41.421223,34.445568,129139
2007-02-08,41.272938,42.588974,41.272938,41.662186,34.645950,320308
2007-02-09,42.619865,42.619865,41.229687,41.390327,34.419872,192649
2007-02-12,39.234001,42.014366,38.925076,39.351398,32.724312,139117
2007-02-13,39.419361,40.284363,39.295788,39.901291,33.181602,230441
2007-02-14,39.345219,40.778648,38.616146,40.506790,33.685135,145575
2007-02-15,40.531506,42.014366,40.160789,41.415043,34.440422,731122
2007-02-19,42.002010,42.002010,39.913647,40.543861,33.715961,103203
2007-02-20,40.037220,40.037220,39.172218,39.709755,33.022320,230263
2007-02-21,40.037220,43.991512,40.037220,42.403618,35.262524,620959
2007-02-22,40.951649,43.126511,40.160789,42.403618,35.262524,216926
2007-02-23,42.397438,42.397438,40.117542,40.692150,33.839275,365043
2007-02-26,42.014366,44.176868,40.160789,41.069042,34.152695,209813
2007-02-27,40.420292,41.149364,40.272003,40.500614,33.680000,165183
2007-02-28,37.689358,40.531506,34.723637,38.974503,32.410889,136770
2007-03-01,40.766293,40.766293,38.801502,39.011574,32.441715,134852
2007-03-02,39.172218,39.808613,37.578144,38.041538,31.635048,93646
2007-03-05,36.824356,38.183643,35.471245,37.571964,31.244555,106812
2007-03-06,38.925076,38.925076,36.206497,38.282501,31.835430,130539
2007-03-07,38.925076,39.790077,38.189823,39.147503,32.554756,211893
2007-03-08,38.925076,38.925076,36.694607,38.517288,32.030674,410013
2007-03-09,40.902222,40.902222,37.707893,38.319572,31.866261,65524
2007-03-12,38.307217,38.857109,38.103325,38.319572,31.866261,71942
2007-03-13,38.677933,39.419361,38.554359,39.147503,32.554756,70833
2007-03-14,38.436966,38.925076,37.207428,38.585251,32.087189,58743
2007-03-15,39.542934,39.542934,37.812927,38.338108,31.881668,85019
2007-03-16,39.172218,39.283432,38.183643,38.480217,31.999842,89575
2007-03-19,37.819107,40.741577,33.778313,40.111362,33.356300,171948
2007-03-20,40.679790,41.520081,39.419361,40.080467,33.330601,118846
2007-03-21,40.655079,40.655079,39.740646,40.432648,33.623470,56954
2007-03-22,40.531506,41.668365,39.666504,41.458294,34.476395,141885
2007-03-23,40.778648,41.149364,40.222576,40.933113,34.039650,106448
2007-03-26,40.778648,41.149364,40.037220,40.346149,33.551544,53248
2007-03-28,40.346149,40.778648,39.561466,40.278183,33.495022,91776
2007-03-29,40.284363,40.902222,40.037220,40.636543,33.793037,234705
2007-03-30,40.778648,42.014366,40.655079,41.606579,34.599712,144669
2007-04-02,39.542934,41.396507,39.542934,40.896042,34.008831,83570
2007-04-03,40.068111,41.767223,40.068111,41.538616,34.543190,91469
2007-04-04,41.334721,42.137939,40.970184,41.958759,34.892574,116337
2007-04-05,40.791004,43.250084,40.655079,42.965870,35.730080,120343
2007-04-09,42.261509,43.867943,42.261509,43.089439,35.832840,218472
2007-04-10,43.126511,43.373653,42.632225,43.206833,35.930466,79168
2007-04-11,42.669296,43.497227,42.669296,43.138866,35.873940,79548
2007-04-12,42.051437,43.219189,42.051437,42.422153,35.277935,125692
2007-04-13,42.026722,43.002937,41.396507,41.693081,34.671646,101163
2007-04-16,41.890793,42.378902,41.520081,42.137939,35.041576,71804
2007-04-17,42.632225,43.478691,41.334721,41.575687,34.574017,201648
2007-04-18,41.767223,42.002010,40.926933,41.242043,34.296562,87892
2007-04-19,40.809544,42.385082,40.778648,40.982544,34.080769,128840
2007-04-20,42.385082,42.385082,40.543861,40.821899,33.947170,945726
2007-04-23,41.334721,41.377972,40.284363,40.420292,33.613201,113456
2007-04-24,40.296719,40.778648,40.037220,40.142254,33.381985,183197
2007-04-25,40.710686,40.710686,39.357574,39.542934,32.883598,4683338
2007-04-26,40.531506,41.328545,39.573826,39.814789,33.109665,592522
2007-04-27,40.327614,40.407932,39.295788,39.425541,32.785980,294889
2007-04-30,39.666504,40.284363,38.925076,39.956898,33.227852,136681
2007-05-03,40.753937,41.643650,40.037220,40.896042,34.008831,569062
2007-05-04,41.353256,41.396507,40.284363,40.451183,33.638893,129633
2007-05-07,40.655079,40.655079,39.685040,39.851864,33.140495,94495
2007-05-08,39.561466,40.037220,39.419361,39.505859,32.852760,89535
2007-05-09,39.555290,39.604717,38.931252,39.159859,32.565029,60434
2007-05-10,39.054825,40.778648,39.054825,40.432648,33.623470,231485
2007-05-11,38.925076,39.993969,38.925076,39.833324,33.125088,53507
2007-05-14,40.037220,40.407932,39.790077,39.932182,33.207294,132902
2007-05-15,40.543861,40.543861,39.542934,40.204041,33.433365,190262
2007-05-16,40.772472,40.772472,39.814789,40.346149,33.551544,83473
2007-05-17,41.272938,41.272938,39.555290,39.969254,33.238125,91266
2007-05-18,39.790077,40.037220,39.530575,39.802433,33.099400,108341
2007-05-21,40.778648,41.025791,39.790077,40.729221,33.870098,295010
2007-05-22,41.019615,41.458294,40.179325,41.359436,34.394184,328093
2007-05-23,41.396507,41.791939,40.803364,41.513901,34.522636,1720750
2007-05-24,40.407932,41.365616,40.407932,40.673615,33.823856,90918
2007-05-25,40.543861,40.587112,40.160789,40.401756,33.597782,43642
2007-05-28,40.531506,40.753937,40.160789,40.506790,33.685135,61049
2007-05-29,40.531506,41.272938,39.919827,41.069042,34.152695,160020
2007-05-30,40.414112,40.791004,40.407932,40.587112,33.751923,226249
2007-05-31,39.678860,41.520081,38.307217,41.347080,34.383911,499426
2007-06-01,41.520081,42.137939,40.902222,41.433578,34.455849,245905
2007-06-04,41.149364,42.137939,40.778648,41.680721,34.661369,2535079
2007-06-05,42.014366,42.014366,40.593292,41.674545,34.656231,109555
2007-06-06,42.193546,42.193546,41.025791,41.347080,34.383911,128047
2007-06-07,40.778648,41.643650,40.655079,41.180256,34.245178,250648
2007-06-08,41.143185,41.396507,40.531506,41.285294,34.332527,123078
2007-06-11,40.778648,41.952579,40.778648,41.699257,34.676773,251934
2007-06-12,41.155544,42.137939,41.155544,41.829006,34.784676,251174
2007-06-13,42.415974,43.002937,42.014366,42.156471,35.056999,320437
2007-06-14,42.261509,42.916439,42.199722,42.749619,35.550243,197844
2007-06-15,43.101795,43.126511,42.632225,42.867008,35.647869,177864
2007-06-18,43.126511,45.721516,42.632225,45.239586,37.620888,877515
2007-06-19,45.227230,46.327019,44.980087,45.573231,37.898338,2781398
2007-06-20,46.123123,47.809875,45.597942,46.907803,39.008160,1840025
2007-06-21,47.562733,50.911526,46.957233,48.254734,40.128258,1629176
2007-06-22,48.440094,48.903484,47.389732,47.828411,39.773735,578708
2007-06-25,47.575092,48.322701,45.517624,46.123123,38.355625,515757
2007-06-26,46.339375,50.046524,45.369335,49.045593,40.785934,4821097
2007-06-27,49.305096,49.305096,46.382626,46.920162,39.018440,380297
2007-06-28,47.513306,47.575092,45.752411,45.943947,38.206623,179118
2007-06-29,46.277588,47.080803,45.851265,46.567982,38.725567,181319
2007-07-02,46.833660,47.358841,45.517624,45.733871,38.031925,241366
2007-07-03,46.327019,46.351730,45.165443,45.721516,38.021656,317880
2007-07-04,45.851265,46.215801,45.109837,45.480553,37.821274,381551
2007-07-05,45.597942,46.191090,44.201584,44.541409,37.040283,194203
2007-07-06,45.103657,45.103657,42.786690,44.312798,36.850182,677687
2007-07-09,44.485798,45.078941,43.620796,44.374584,36.901566,86362
2007-07-10,44.609371,46.203445,44.498158,45.511444,37.846962,494101
2007-07-11,45.536160,45.702980,44.238655,45.146908,37.543812,141577
2007-07-12,45.103657,45.721516,44.980087,45.462013,38.257809,86233
2007-07-13,45.981014,45.981014,43.867943,44.541409,37.483089,3162270
2007-07-16,44.238655,44.609371,43.991512,44.485798,37.436291,1170438
2007-07-17,44.671158,44.856514,43.991512,44.479622,37.431095,150892
2007-07-18,44.238655,44.238655,42.755795,43.027653,36.209213,87576
2007-07-19,43.126511,43.867943,42.768154,43.027653,36.209213,161436
2007-07-20,42.700188,43.250084,41.550972,42.113224,35.439678,111061
2007-07-23,43.126511,43.126511,41.890793,42.057617,35.392895,102798
2007-07-24,42.014366,44.053299,41.773399,43.423084,36.541981,166688
2007-07-25,43.867943,43.991512,42.261509,43.750549,36.817547,115471
2007-07-26,44.448727,44.448727,42.768154,43.744370,36.812344,108520
2007-07-27,41.927868,44.362228,41.550972,43.979156,37.009933,178414
2007-07-30,42.687832,43.880299,42.687832,43.707298,36.781155,290624
2007-07-31,44.170692,44.170692,42.786690,43.386009,36.510784,544429
2007-08-01,43.250084,45.103657,42.879368,44.115086,37.124325,1225717
2007-08-02,43.991512,44.479622,43.002937,43.175941,36.333996,89632
2007-08-03,43.867943,45.103657,43.509583,44.862694,37.753456,270417
2007-08-06,43.497227,45.072765,43.497227,44.615551,37.545479,98226
2007-08-07,45.103657,45.474373,43.874119,44.664978,37.587074,191605
2007-08-08,44.559940,45.078941,43.250084,43.997692,37.025528,179499
2007-08-09,44.362228,44.973907,42.934975,43.231548,36.380802,49315
2007-08-10,41.025791,42.632225,41.025791,41.884617,35.247311,956190
2007-08-13,38.467857,43.497227,38.467857,42.002010,35.346096,50513
2007-08-14,42.014366,42.385082,41.396507,41.532436,34.950939,64318
2007-08-16,41.019615,41.371792,40.284363,40.815720,34.347794,231517
2007-08-17,40.772472,40.772472,39.172218,39.289612,33.063530,462606
2007-08-20,40.160789,40.160789,39.295788,39.610897,33.333900,157859
